customer_id,full_name,phone_number,loyalty_points
185,Dan Boyer,0098311748,622
186,Ignacio Bartell,0929034757,984
187,Brandon Altenwerth,0203702609,566
188,Paul Wilkinson,0586978263,58
189,Lewis Swaniawski,0654557093,972
190,Rebecca Kuhn IV,0938416241,337
191,Danny Jaskolski V,0705626088,490
192,Rosa Baumbach,0524087875,885
193,Jamie Moore,0221373880,971
194,Jean Quigley,0606333598,651
195,Jenna Hermiston PhD,0513239817,760
196,Mr. Kurt Brown,0901621720,186
197,Ethel Abbott,0411398543,341
198,Hugh Hahn I,0301086594,868
199,Melissa Herman,0763383829,518
200,Kayla Hintz,0405100085,343
201,Matt Deckow,0593802447,370
202,Tom Moen,0920317304,921
203,Judy Stroman,0474885746,439
204,Laurence Schuppe,0851762665,364
205,Iris Gerlach,0529735772,128
206,Ms. Lila Volkman,0908903650,646
207,Nathaniel Mitchell,0983671932,459
208,Mr. Bryant Bayer,0290840536,169
209,Irene Mayer,0142579701,311
210,Eunice Turner V,0991198133,351
211,Roman Schultz V,0414993389,887
212,Michael Gusikowski,0411320272,211
213,Beatrice Von,0841167368,655
214,Miss Hope Kiehn,0972155915,217
215,Ian Schimmel-Ledner,0432511807,621
216,Vickie VonRueden,0896439993,341
217,Marta Rutherford,0211231946,408
218,Terrell Hickle,0969030791,292
219,Hilda Stamm,0533133918,943
220,Alonzo Strosin,0994090185,132
221,Norma Wisozk,0179398661,452
222,Amy Franey,0567914522,467
223,Duane Monahan,0909843332,174
224,Elbert Bogisich,0558674348,607
225,Jasmine Connelly,0524275818,575
226,Mrs. Verna Ondricka I,0463036292,630
227,Rosie Goldner,0583087506,45
228,Colin Roob,0563438358,181
229,Jessie Renner,0725345043,656
230,Gordon Harvey,0938834843,195
231,Margarita Hammes,0649360181,821
232,Brad Breitenberg III,0898975169,904
233,Doug Daugherty II,0525325118,801
234,Jeannette Purdy,0040927485,821
235,Preston Bernhard Jr.,0296109782,453
236,Lindsay Kovacek,840-203-4583 x277,662
237,Violet Smith DDS,0956492849,164
238,Brad Kuphal,0557809228,347
239,Alexandra Botsford IV,0088790426,846
240,Dr. Sherri Feeney,0767972674,127
241,Erma Padberg I,0501074844,198
242,Geoffrey Hamill I,0758507416,36
243,Jacqueline Williamson,0329541323,427
244,Anita Hoeger,0813753766,554
245,Travis Hartmann,0659190912,431
246,Otis Purdy,0312389996,302
247,Joseph Barton,0943818694,110
248,Sarah Stamm,0767688760,366
249,Dianna Bechtelar,0091136992,774
250,Brandi Hamill-Paucek,0699330254,224
251,Josefina Watsica,0595411624,549
252,Doris Conroy,0735459383,290
253,Joanna Bergstrom DDS,0638430640,301
254,Allison Barrows,0218710434,950
255,Dr. Bonnie Mueller,0474559890,615
256,Tyler West,0500766558,528
257,Forrest Bartell,0945614078,449
258,Dora Bosco,0517083959,554
259,Gustavo Bogan,0355925370,392
260,Trevor Olson,0019336776,7
261,Eula Reichel,0771063747,285
262,Greg Lehner,0721179313,598
263,Wayne Johnson DDS,0929726389,288
264,Ms. Lynette Kemmer,0302308866,956
265,Jackie Brekke,0595793611,322
266,Guillermo Graham,0972843549,103
267,Hilda Tromp,0855988390,780
268,Candice Rau,0658978271,259
269,Becky Senger,0487344771,88
270,Mrs. Melody McCullough,0326957518,777
271,Dr. Jeanette Mitchell,0365423524,323
272,Mitchell Watsica,243.236.5946 x603,293
273,Olga Farrell V,0337337810,258
274,Allison Kautzer,0650540591,823
275,Sidney Nikolaus,0973004507,694
276,Lela Bayer,0376569802,739
277,Laura Klein IV,0025009792,442
278,Abel Fritsch,0796587840,850
279,Gilberto Aufderhar,0706894002,924
280,Mr. Morris Ankunding DVM,0193049444,997
281,Kelli Corwin,0834444299,684
282,Cameron Mante,0587255349,477
283,Mr. Grant Wolff,0780076076,709
284,Tiffany Huel,0797619119,158
285,Jesus Lakin,0645754092,561
286,Tommie Stracke,0776767309,113
287,Mrs. Nichole Lind,0370278608,184
288,Laverne Gerlach-Klein,0326315037,930
289,Theodore Hahn Jr.,0459327782,10
290,Sophie Conroy,0562038117,749
291,Luke Farrell,0555850186,985
292,Rolando Yundt,0157298884,233
293,Al Schowalter,0030220581,172
294,Tiffany Gleichner,0376141488,767
295,Essie Smith,0514729867,46
296,Jan McCullough,0709118094,896
297,Orville Raynor,0075623087,918
298,Heather Armstrong,0413503695,844
299,Michael Towne,0859403059,96
300,Eula Nienow,0084115121,361
301,Elsa Schaefer,0384179495,926
302,Kerry Fay,0620744816,650
303,Jessie Rodriguez,0203305333,560
304,Teri Tromp,0878455607,706
305,Beth Bechtelar,0986039363,926
306,Amos Schaefer,0608326070,118
307,Stacy Beatty,0308427931,100
308,Sophia Von-Ortiz,0352813858,981
309,Charlene Kassulke,0386307282,543
310,Hattie Block,0279445906,239
311,Leigh Cartwright,0759188875,773
312,Kristi Corkery,0579077953,645
313,Ana Kulas,0081405533,518
314,Derrick Cummings-Gleason III,0852729663,232
315,Bruce Christiansen,0463649566,790
316,Jana Medhurst,0979719271,879
317,Glenn Gutmann,0731813876,288
318,Carlton Lindgren,0728738275,753
319,Willie Gerhold Sr.,0648678348,567
320,Zachary Lindgren,0160447124,353
321,Mr. Sam Lindgren,0630947499,189
322,Jacqueline Crooks-Funk,0199405471,601
323,Maxine Morissette,0235885849,839
324,Antonia Ryan Jr.,0962449455,183
325,Amanda Auer,0244074282,192
326,Walter Kreiger,0822384750,435
327,Jeffrey Keebler,0581887434,831
328,Wilfred Lemke,0758686511,901
329,Jeannette Murphy,0620602311,307
330,Harriet Runolfsson-Lemke Sr.,0199107319,368
331,Ms. Juana Cremin,0262490258,934
332,Leslie Conroy,0349883259,209
333,Stephanie Macejkovic,0596715438,497
334,Tina Nitzsche,0439995228,944
335,Rodolfo McDermott II,0602539362,389
336,Rosemary Bashirian,0156133806,153
337,Courtney Walker,0060775658,185
338,Billie Bruen,0921506485,980
339,Hector McGlynn,0740110594,765
340,Melvin Batz,0538581898,612
341,Minnie Lockman,0865796645,972
342,Mrs. Samantha O'Hara,0355671904,678
343,Dawn Jaskolski,0646714481,97
344,Daryl Sporer,0988806286,385
345,Carlton Green,0232958681,263
346,Evan Goldner,0625668360,758
347,Josefina Streich,0371719575,337
348,Miss Beatrice Luettgen Sr.,0596148031,860
349,Neil Lowe,0521195669,583
350,Claire Berge,0946246376,811
351,Andrea Brown,0422069383,566
352,Lynette Rice,0472448257,71
353,Judy Cormier,0580117587,120
354,Dr. Walter Bode,0891933440,447
355,Peggy Mosciski,0529719819,75
356,Sylvia Feest III,0135348038,801
357,Benjamin Veum,0722791643,739
358,Isabel Quitzon,0813822430,862
359,Dolores Braun-Blanda MD,0437434360,218
360,Carolyn Lowe-Becker,0712795924,713
361,Dr. Harry Tromp,0150895484,61
362,Marco Herman,751.975.5986 x642,295
363,Johnnie Rath Jr.,0506730960,405
364,Abraham Hilll,0140374717,370
365,Jack Bernier III,0173156985,182
366,Johanna Rath,0251418950,258
367,Rosalie Quitzon,0955346651,265
368,Ida Rogahn,0973850549,807
369,Marjorie Quitzon,0228609063,916
370,Matthew Turcotte,0447739212,880
371,Leroy Collins,0894640307,647
372,Mrs. Shelly Schneider,0414925100,198
373,Gladys Rippin,0500014599,83
374,Priscilla Schaefer,0872028886,970
375,Isabel Tremblay,0147958181,328
376,Heather Greenfelder,0951870508,865
377,Sara Howell,0928947231,190
378,Yolanda Maggio,0099126797,598
379,Arthur Reichel,0949738616,842
380,Catherine Langworth,0614346273,560
381,Danielle Fritsch,0278712643,435
382,Ellen Hodkiewicz,0442461663,105
383,Leonard Leannon,0189188954,280
384,Jack Lesch,0668899294,470
385,Travis Shanahan,0012124365,145
386,Essie Mann-Green,0303220368,986
387,Marc Frami,0130258031,36
388,Troy Feeney,892-858-1002 x900,216
389,Mr. Travis Heller PhD,0976283549,960
390,Melvin Pfeffer,0844653231,773
391,Nettie Braun Sr.,0367792644,113
392,Erin Zieme,0312265446,653
393,Lisa Ortiz,0529367858,787
394,Evelyn Block-Murazik,0006077993,105
395,Jimmy Weissnat,0670167810,676
396,Meredith Walker,0669856267,660
397,Jeannie Roberts,0852910077,6
398,Elizabeth Fay,0772544537,185
399,Cody Christiansen,0768100247,60
400,Peter Christiansen II,0730822207,434
401,Claude Robel,0776005668,536
402,Gilberto Yost DVM,0120004253,15
403,Dianne Beer,0889641768,409
404,Rickey Gulgowski,0088097758,695
405,Sarah Schmitt,0453414656,769
406,Dr. Edmond Bashirian,914-668-3516 x0068,495
407,Jake Harber,0044316337,121
408,Sheila Runolfsdottir,0937999537,116
409,Kristin Lind,0103776038,658
410,Eduardo Davis,0537129994,688
411,Shaun Schaefer,0777830635,388
412,Frances Gerlach,0013526025,582
413,Garry Daniel,0321851002,506
414,Suzanne Collier,0377481069,534
415,Dr. Elsa Nolan,0866651887,468
416,Leland Lakin Sr.,0082460782,958
417,Preston Bergnaum,0818366586,599
418,Miss Kathy Walsh,0322482685,203
419,Vanessa Bednar IV,0814623252,41
420,Dr. Rochelle Bashirian,0633690550,228
421,Rex Lindgren Sr.,0747295312,746
422,Jesse Johns,0021216601,925
423,Harvey Barton,1-402-776-0461 x7409,713
424,Dwight Lemke,0156404152,787
425,Laurie King,0191343200,182
426,Rochelle Schuppe,0374139669,941
427,Lester Swaniawski,0444624775,457
428,Marilyn Weber,0438868781,262
429,Tabitha Moen,0981072655,67
430,Camille Hartmann,0240357221,1000
431,Boyd Sipes,0317252109,260
432,Henrietta Feil-Walker,0606790534,249
433,Clarence Walker,0624275730,174
434,Neal Mitchell Sr.,0816550598,61
435,Tara Koelpin,0529272977,295
436,Shane Mertz,0208269733,719
437,Mr. Winston Weissnat,0429750332,433
438,Isabel Schiller,0291511312,856
439,Leo Ratke,0371992788,583
440,Janet Schneider,0529309730,431
441,Mr. Homer Harber,0992024123,333
442,Otis O'Reilly Jr.,0114093910,103
443,Claudia Dibbert,0161748359,195
444,Francis Senger,0386141935,735
445,Dr. Martin Yundt,0713200376,605
446,Dexter Homenick,0911176622,42
447,Shelly Schmeler,0933305700,353
448,Jeanette Klein,0308438999,635
449,Lorena Krajcik,0681502644,273
450,Stacey Tremblay,0774499827,117
451,Angelina Wyman,0425217350,714
452,Dennis Rath-Reichel DVM,0703522033,949
453,Linda Davis,0279799602,116
454,Judith Franey,0440170994,756
455,Jill Smith,0734910627,870
456,Miss Debra Ernser,0397190205,668
457,Peter Casper,0911494521,342
458,Dr. Leslie Hodkiewicz DVM,0066132370,957
459,Benny Yost,0207329208,34
460,Casey Bins PhD,0130771249,627
461,Janis Fadel-Marks,0754527999,977
462,Greg Denesik,0784243866,807
463,Roland Hayes,0622896675,193
464,Gregory Swift DDS,0336828640,588
465,Kenneth Blick,0247199884,732
466,Harry Parker,0636817969,760
467,Martha Nikolaus V,0095933273,290
468,Jose Schuster,0458494815,753
469,Gina Ondricka,0474001444,504
470,Adrian Pouros-Spinka,0481147621,867
471,Susan Marks,0253523439,410
472,Helen Bednar,0226312283,764
473,Elisa Gottlieb Jr.,0962787044,411
474,Sylvester Quigley,0071052057,767
475,Jody Hermiston II,0808134868,988
476,Norma Hoeger,0641291380,337
477,Bernadette Corkery,0677888299,516
478,Antonio Lesch,0904016346,269
479,Jesse Sipes,0252617377,416
480,Antonia Schultz,0561980003,687
481,Gary Mayert,0067117747,364
482,Leona Greenfelder-Smitham,0968468794,198
483,Lindsay Grimes,0005017138,986
484,Heather Bashirian,0825881256,385
485,Mr. Herbert D'Amore,0993173698,488
486,Lena Bernier Sr.,0349616201,738
487,Ricardo Larkin,0670985817,904
488,Holly Becker,0232472265,460
489,Lindsey Nienow,0277665157,619
490,Luis Kub III,0589693420,558
491,Amos Effertz PhD,0802952938,163
492,Sidney Barrows DVM,0976838054,308
493,Jeannie Volkman,0769456813,554
494,Lorena Crona,0191715209,457
495,Felix Cummerata,0508310435,342
496,Nancy Greenfelder,0605003385,112
497,Roxanne Mann I,0354180176,62
498,Barry O'Keefe,0453181849,848
499,Gwendolyn Kilback,0225549664,559
500,Oliver Little,0587387901,130
501,Dr. Lola Rempel,0605962265,247
502,Colleen Zieme,0794723104,243
503,Clyde Donnelly,0007169489,331
504,Wilbur Collins MD,0682913878,851
505,Thelma Brakus,0845150389,330
506,Tommie Murazik,0248328410,730
507,Damon Cummings,0991089269,964
508,Megan Kuhic DDS,0852707496,172
509,Ms. Rita O'Connell-Moore,0788780873,311
510,Ken Walker,0117412462,201
511,Gordon Rempel-McKenzie,0192924811,497
512,Edmund Ernser,0551387697,533
513,Ms. Eileen McKenzie,0055740909,922
514,Regina Douglas,0423831271,490
515,Dixie Rodriguez,0578117272,798
516,Roman Maggio,0413351094,413
517,Wanda Nitzsche PhD,0878402716,959
518,Trevor Gleichner,0648636588,50
519,Micheal Walter,0778501506,494
520,Ms. Essie Hammes,0612749086,498
521,Denise Blanda DVM,0186309272,723
522,Larry Waters,0230691497,450
523,Caroline Mills,0992707820,666
524,Felix Monahan PhD,0461325321,24
525,Gerard McDermott,0964817444,511
526,Mr. Leland Moore,0407220151,531
527,Terence Lind,0001018771,148
528,Diane Balistreri,0392861211,792
529,Angelica Cole,0531263595,514
530,Ms. Kathy Nicolas,0933751566,679
531,Eloise D'Amore,0422119751,414
532,Brendan Beier,0955381537,993
533,Dennis Kovacek,0106194688,572
534,Jacqueline Gutmann,0496169128,622
535,Alison Fisher,896-734-3759 x4952,312
536,Mrs. Melissa Bernhard,0697801776,116
537,Jose Torphy PhD,0405973804,909
538,Jerald Toy,0229058184,821
539,Margie Bosco,0506364224,281
540,Ellen Price,0773114240,487
541,Kristopher VonRueden MD,0327070288,609
542,Sophia Farrell,0573624524,36
543,Deanna Rice,0784438027,817
544,Brad Nolan,0062877814,454
545,Colin Wyman,0612246481,251
546,Viola Cormier,0498074730,152
547,Mr. Darin Mann I,0818866256,517
548,Yvonne Towne,0214077043,688
549,Eric Hackett,396-643-1314 x5797,896
550,Dr. Hope O'Reilly,0794504685,386
551,Kimberly Hegmann,0438650647,345
552,Alonzo Davis,0870150642,320
553,Amos Ortiz,0785050542,331
554,Jamie Kerluke,0478581931,706
555,Marlene Shanahan IV,0221236407,580
556,Patrick Kub,0419587574,101
557,Edmund Hartmann,0876679656,480
558,Dan Thiel,0614496256,972
559,Bill Sauer,0694397386,106
560,Winston Schuster-Reichel,0810322228,485
561,Harriet Hoeger,0328648163,275
562,Katie Kuhn,0794653839,602
563,Adam Rosenbaum I,0891168401,710
564,Andre Quitzon-Moore,0796146794,516
565,Dr. Marc Kozey Jr.,0637581338,161
566,Hilda Funk,0231605369,343
567,Willie Hamill II,0889721301,306
568,Jessie Trantow,0716836905,409
569,Herman Herzog Sr.,0135904462,769
570,Blanca Yost-Koss,0409431685,234
571,Jesus O'Conner,0847398033,8
572,Vicky Jacobi,0828098886,674
573,Marty O'Conner,0752688592,996
574,Alan Bosco,0392847736,789
575,Roxanne Spinka,0378912945,55
576,Toby Will,0085027853,711
577,Erik Crist,0997856655,477
578,Walter Berge,0521141246,357
579,Dr. Dallas Effertz II,0137635641,59
580,Lauren Bosco,0277392200,483
581,Mr. Ronald Kirlin,0624185632,331
582,Ms. Vicky Halvorson,0170074919,605
583,Dave Kulas,0779075107,491
584,Dana Cormier,0273346473,16
585,Vicky Stehr,0438667358,293
586,Joey Walsh PhD,0361765601,283
587,Neal Lakin,0675191496,674
588,Mrs. Susie Dickinson,0842275235,214
589,Mrs. Kate McLaughlin,0099952741,384
590,Elaine Reichert,0053431298,282
591,Jan Beer,0612734591,2
592,Lucas McCullough,0280066430,568
593,Angela Thompson,0740777235,898
594,Lynn Medhurst,0375274997,939
595,Clint Schulist,0028420753,86
596,Clint Terry DDS,0591983580,513
597,Virgil Ziemann,0415868470,128
598,Angela Hahn,521-280-4981 x62372,834
599,Adrian Lebsack,0419162704,731
600,Mable Jones,0440744758,508
601,Philip Legros,0822460522,631
602,Mr. Bruce Paucek,0626808093,83
603,Alicia Quitzon,0919439987,629
604,Francisco Glover,0403985135,733
605,June Bradtke III,0210188199,386
606,Krista Grant,0208890584,147
607,Bridget Satterfield,0896300164,228
608,Jonathon Considine,0370482868,54
609,Christine Franey,0864545729,38
610,May Friesen,0849585674,183
611,Kellie Hodkiewicz,0216574270,918
612,Freddie Koss III,0894124375,958
613,Mrs. Lila Johnston,0356905086,881
614,Sheldon Hudson,0082502359,261
615,Jamie Emmerich,0612795261,491
616,Harvey Bernhard,0189614649,431
617,Wallace Cassin,0311864762,159
618,Benny Ruecker,0401181832,399
619,Lorena Paucek,0849591857,675
620,Maureen Kassulke,0229923201,587
621,Alex Farrell DDS,0232457154,115
622,Robin Gerlach,0617061886,168
623,Ian Purdy I,0595385405,488
624,Jan Ledner,0117282176,734
625,Terry Effertz,0949423844,195
626,Clifford Schmidt,0833801945,146
627,Ms. Edna Wolff,0859067861,596
628,Sadie McCullough,0497920733,32
629,Saul Kohler,0013174446,218
630,Shannon Vandervort,0496143866,129
631,Mattie Mante,0355555913,724
632,Isaac Ankunding,0506831844,168
633,Andy Hand DDS,0558017718,913
634,Angela Dach-Abernathy,0071981792,937
635,Edmund Kub,0008917346,130
636,Pearl Hessel,356.358.5200 x282,579
637,Carmen Stroman,0535290877,584
638,Sheila Klocko,0107471000,656
639,Antonia Rice III,0526888881,141
640,Donald Kerluke V,0106301024,719
641,Alexis Balistreri,0488622847,709
642,Olga Flatley,0750779570,845
643,Johnathan Hoeger,0181052756,1
644,Mr. Malcolm Franecki,0609457191,297
645,Lionel Pagac,0622055347,413
646,Miss Karla Heidenreich,0624059525,760
647,Rex Stokes III,0829814368,835
648,Susan Kessler-Langosh Jr.,0507348230,872
649,Freddie Waelchi,0875832442,687
650,Johnnie Hansen-Greenholt,0741016501,359
651,Erik Smith,0852262765,780
652,Lawrence Schroeder,0951369259,304
653,Angela Schoen PhD,0374390223,285
654,Sarah Ledner,0159647537,852
655,Andy Sporer,0049991836,696
656,Beulah Nicolas,0005620618,250
657,Marlene Gerlach,0246441605,672
658,Elisa Greenholt,0077056165,154
659,Victor Roob,0306162603,365
660,Margarita Durgan,0781047701,89
661,Katie Hamill,0729476949,286
662,Dr. Robin Nienow,0457302835,348
663,Joy King,0909389606,209
664,Mrs. Elsie Labadie,0246910318,904
665,Ray Schumm,0782054525,237
666,Miss Thelma Bogisich,0967530428,904
667,Diane Rosenbaum,0238621057,664
668,Guy Bergstrom,0278919716,907
669,Belinda Ratke DDS,0732110954,234
670,Matthew Stehr,0606838565,880
671,Brent Baumbach,0745207943,880
672,Michelle Schuster,0605411259,136
673,Juan Becker,0142221156,715
674,Lucille Hilll,0644655247,198
675,Marlene Lindgren V,0410688955,204
676,Kristi Connelly,0717452935,445
677,Monica Wiza,0223497161,397
678,Lindsay Marks,0755850749,523
679,Felix Ward,0814676615,376
680,Gretchen Altenwerth,0235614822,366
681,Roger Mitchell,0735255831,448
682,Jo Johns,0014386162,358
683,Miss Mabel Zieme,0909957176,953
684,Jonathon Block,0721786716,879
685,Velma Kuvalis,0575982118,193
686,Saul Jaskolski,0485270988,17
687,Geoffrey Bashirian,0515449159,336
688,Dixie Kovacek,0345419922,126
689,Shawn Torphy,0628317472,773
690,Barbara McClure MD,0277128162,940
691,Virginia Franey,0380469633,544
692,Miss Nellie Ratke,0955501841,319
693,Ricky Metz,0260147598,117
694,Mr. Glenn Mraz Sr.,0378320241,666
695,Ben Swaniawski,0775407815,653
696,Douglas Collins,0731398161,291
697,Jeanne Muller,0315008002,287
698,Jorge Mitchell,0327275903,703
699,Renee Bradtke,0365800230,697
700,Robin Smith,0791095077,942
701,Erica Williamson,0054264032,321
702,Rita Klocko,0877911228,565
703,Dale Nitzsche,0358126223,990
704,Crystal Crist,0190219262,83
705,Jody Klocko,0308932888,822
706,Gerard McClure,0326374693,135
707,Minnie Gerhold,0862449236,58
708,Mike Lockman,0415255141,311
709,Wanda Hane,0288183090,122
710,Sara Prosacco,0791573068,272
711,Susan Krajcik,0063488415,26
712,Maryann Bernier,0025320119,276
713,Nicolas Borer,0946729707,43
714,Wesley Roob,0774981349,410
715,Tricia Bartell Jr.,0438934404,853
716,Dolores Jaskolski,0957877440,668
717,Raquel Weber,0596539428,537
718,Dr. Andre Hessel,0197558760,113
719,Lindsay Zboncak,0390703068,400
720,Ira Renner,0327790872,966
721,Noel Marks,(462) 334-7030 x0812,852
722,Dr. Grant Nitzsche,0106485559,676
723,Bobbie Rosenbaum,0910746377,810
724,Margie Windler,0651353241,7
725,Laurie Donnelly,0650885585,78
726,Mr. Terrence Reinger,0601033074,853
727,Joy Fay,0254222586,514
728,Austin Cole,0799799553,2
729,Mack Hansen,0099878453,164
730,Miranda Lang,0062041675,624
731,Misty Prohaska,0971305367,49
732,Lillie Nader,0829939128,300
733,Elisa Wisoky,0063752312,943
734,Miss Jeannette Carter,0851665175,870
